Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79
MIN_TRADES_DAY,0.3,0.3,0.3,float,Activity floor,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
MIN_PROFIT_PER_TRADE,15,15,15,float,Min profit/trade norm,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
MIN_TRADES_PEN_WEIGHT,-120,-120,-120,float,Low-trade penalty,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
NORM_SORTINO_MAX,8,8,8,float,Sortino cap,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
NORM_DD_MAX,80000,80000,80000,float,DD norm cap,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0
NORM_PF_MAX,2.5,2.5,2.5,float,PF norm cap,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
NORM_TRADES_MAX,3.0,3.0,3.0,float,Trades/day norm,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NORM_PNL_MAX,150000,150000,150000,float,PnL norm cap,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
NORM_PROFIT_TRADE_MAX,100,100,100,float,PPT norm cap,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MIN_WIN_RATE,0.35,0.35,0.35,float,Min win rate,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
SORTINO_CAP,8,8,8,float,Sortino cap,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
GA_START_DATE,2020-01-02,2020-01-02,2020-01-02,str,Backtest start,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02,2020-01-02
GA_END_DATE,2025-10-10,2025-10-10,2025-10-10,str,Backtest end,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10,2025-10-10
GA_LIVE_STYLE_ENTRY,1,1,1,int,LOCKED enter signal-bar close,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GA_CONSERVATIVE_STOP_SLIPPAGE,1,1,1,float,LOCKED,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GA_CONSERVATIVE_ENTRY_SLIPPAGE,1,1,1,float,LOCKED,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GA_CONSERVATIVE_CHANNEL_SLIPPAGE,0.25,0.25,0.25,float,LOCKED,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
GA_PESSIMISTIC_STOPS,1,1,1,int,LOCKED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GA_DIVERSE_SEED,0,0,0,int,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEIGHT_SORTINO,1,,,float,Fitness: Sortino,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WEIGHT_DRAWDOWN,-1.0,,,float,Fitness: drawdown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
WEIGHT_PF,2,,,float,Fitness: profit factor,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
WEIGHT_TRADES,0.5,,,float,Fitness: trades/day,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
WEIGHT_PNL,1.2,,,float,Fitness: total PnL,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
WEIGHT_PPT,1.0,,,float,Fitness: profit/trade,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MIN_TRADE_DURATION,3,3,3,float,Min avg hold minutes,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
MAX_WIN_RATE_CAP,0.85,0.85,0.85,float,Suspicious win-rate cap,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
LIMIT_MAX_LOSS,50000,50000,50000,float,Loss soft-gate,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
LIMIT_MIN_SORTINO,0.4,0.4,0.4,float,Sortino soft-gate,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio (IS aggregate),,,,statistic,Sortino Ratio (IS aggregate) for each solution,4.3841,3.9338,3.8648,3.8061,3.7713,3.7436,3.6917,3.6149,3.6149,3.6149,3.6149,3.5333,3.5278,3.5047,3.4675,3.4471,3.4385,3.3630,3.2075,3.1755,3.1631,3.1344,3.0760,3.0516,3.0265,3.0083,2.9499,2.9174,2.8728,2.8557,2.8385,2.7849,2.7807,2.7380,2.6871,2.6772,2.6575,2.5748,2.5748,2.5733,2.5634,2.5534,2.5534,2.5330,2.5228,2.5168,2.4819,2.4808,2.4652,1.2325,1.1295,1.1217,1.0229,1.0118,0.9366,0.9267,0.8061,0.7717,0.6946,0.6467,0.6436,0.5692,0.5291,0.4880,0.4660,0.4520,0.4374,0.4290,0.3717,0.3035,0.2810,0.2753,0.2583,0.2583,0.2471,0.2166,0.1333,0.1091,0.1089,0.0564
Max Drawdown ($) (IS aggregate),,,,statistic,Max Drawdown ($) (IS aggregate) for each solution,"$9,519.00","$8,946.50","$12,056.50","$9,625.50","$9,095.00","$11,805.00","$12,681.50","$9,530.50","$9,530.50","$9,530.50","$9,530.50","$11,136.50","$12,508.00","$12,508.00","$12,009.50","$10,096.00","$12,009.50","$12,263.00","$11,784.50","$11,743.00","$11,743.00","$9,373.00","$12,140.00","$10,808.50","$11,743.00","$11,884.00","$11,400.50","$17,428.00","$13,701.50","$14,397.50","$10,687.00","$14,026.00","$13,729.50","$16,397.50","$12,904.50","$11,127.00","$14,127.50","$14,192.50","$14,192.50","$14,170.00","$14,170.00","$14,192.50","$14,192.50","$14,192.50","$12,381.00","$14,192.50","$12,381.00","$14,192.50","$14,192.50","$19,926.50","$9,978.00","$22,912.50","$18,398.00","$9,727.50","$9,894.50","$18,951.50","$27,265.50","$10,425.50","$23,617.50","$13,229.50","$22,793.00","$18,879.50","$15,450.50","$12,723.50","$12,407.50","$9,440.00","$12,482.00","$15,450.50","$22,928.50","$12,962.00","$27,317.00","$26,732.50","$15,373.50","$15,373.50","$12,581.50","$31,823.00","$14,693.00","$12,581.50","$15,506.50","$33,238.00"
Profit Factor (IS aggregate),,,,statistic,Profit Factor (IS aggregate) for each solution,1.5254,1.4719,1.5022,1.4596,1.4496,1.4635,1.4660,1.4478,1.4478,1.4478,1.4478,1.4587,1.4592,1.4552,1.4263,1.4794,1.4226,1.4291,1.4330,1.3911,1.3889,1.3600,1.3715,1.3652,1.3732,1.3970,1.4003,1.3396,1.3742,1.3524,1.3473,1.3247,1.3413,1.3169,1.3471,1.3263,1.3393,1.3273,1.3273,1.3086,1.3075,1.3248,1.3248,1.3216,1.3217,1.3198,1.3153,1.3159,1.3161,1.1563,1.1745,1.1134,1.1045,1.1602,1.1477,1.0960,1.1023,1.1180,1.0722,1.0983,1.0673,1.0727,1.0825,1.0726,1.0687,1.0738,1.0645,1.0658,1.0519,1.0448,1.0325,1.0320,1.0376,1.0376,1.0372,1.0227,1.0203,1.0168,1.0165,1.0059
Avg Trades/Day (IS aggregate),,,,statistic,Avg Trades/Day (IS aggregate) for each solution,0.304,0.428,0.405,0.436,0.435,0.319,0.424,0.436,0.436,0.436,0.436,0.435,0.426,0.427,0.446,0.427,0.447,0.439,0.439,0.438,0.438,0.461,0.450,0.466,0.440,0.440,0.445,0.461,0.454,0.455,0.570,0.475,0.479,0.486,0.464,0.474,0.477,0.480,0.480,0.484,0.485,0.484,0.484,0.485,0.478,0.487,0.479,0.488,0.494,0.679,0.473,0.761,0.720,0.475,0.483,0.720,0.760,0.511,0.742,0.587,0.754,0.724,0.589,0.573,0.573,0.469,0.575,0.602,0.740,0.585,0.925,0.917,0.598,0.598,0.585,0.827,0.611,0.592,0.629,0.835
Total Profit ($) (IS aggregate),,,,statistic,Total Profit ($) (IS aggregate) for each solution,"$43,350.00","$48,221.00","$51,099.50","$48,145.00","$46,705.50","$41,176.00","$48,679.50","$47,489.00","$47,489.00","$47,489.00","$47,489.00","$47,923.50","$48,783.00","$48,491.00","$45,285.50","$50,359.00","$45,061.50","$46,920.50","$48,232.00","$42,498.50","$42,291.50","$40,360.50","$42,642.50","$41,492.00","$41,025.50","$43,323.00","$45,027.00","$41,192.50","$44,784.00","$41,442.50","$44,476.50","$38,634.50","$40,813.50","$38,937.00","$42,216.50","$38,550.00","$41,584.00","$40,480.00","$40,480.00","$38,034.50","$38,051.00","$40,407.00","$40,407.00","$40,104.50","$39,119.00","$39,934.00","$38,645.50","$39,468.00","$39,802.00","$24,131.00","$18,068.50","$24,813.00","$22,220.00","$16,870.00","$15,775.50","$20,567.00","$16,929.50","$15,469.00","$16,179.00","$14,996.00","$15,381.50","$11,562.50","$11,869.00","$10,578.50","$10,034.00","$7,905.00","$9,409.00","$9,849.00","$9,176.00","$6,602.50","$8,334.50","$8,098.50","$5,758.50","$5,758.50","$5,521.00","$5,475.50","$3,182.00","$2,547.50","$2,663.00","$1,443.50"
