Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75
NORM_PF_MAX,5.0,3.0,10.0,float,Normalization range for Profit Factor (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_TRADES_MAX,3.0,1.0,5.0,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PNL_MAX,465000.0,100000.0,1000000.0,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PROFIT_TRADE_MAX,250.0,100.0,500.0,float,Normalization range for Avg Profit Per Trade (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_WIN_RATE,0.40,0.30,0.50,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTINO_CAP,10.0,5.0,20.0,float,Maximum Sortino value before capping (prevents unrealistic values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio,,,,statistic,Sortino Ratio for each solution,-0.9709,-0.9713,-0.9713,-0.9714,-0.9714,-0.9714,-0.9714,-0.9715,-0.9715,-0.9715,-0.9715,-0.9715,-0.9715,-0.9715,-0.9715,-0.9715,-0.9716,-0.9717,-0.9717,-0.9717,-0.9718,-0.9718,-0.9719,-0.9719,-0.9720,-0.9721,-0.9721,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000
Max Drawdown ($),,,,statistic,Max Drawdown ($) for each solution,$1.79,$1.80,$1.80,$1.80,$1.74,$1.77,$1.77,$1.75,$1.83,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.73,$1.77,$1.78,$1.79,$1.76,$1.92,$1.73,$1.96,$1.80,$1.84,$1.75,$1.92,"$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00"
Profit Factor,,,,statistic,Profit Factor for each solution,-0.9653,-0.9659,-0.9659,-0.9660,-0.9660,-0.9660,-0.9661,-0.9661,-0.9661,-0.9661,-0.9661,-0.9661,-0.9661,-0.9661,-0.9661,-0.9662,-0.9662,-0.9664,-0.9664,-0.9664,-0.9665,-0.9665,-0.9666,-0.9666,-0.9667,-0.9668,-0.9669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Avg Trades/Day,,,,statistic,Avg Trades/Day for each solution,-0.256,-0.247,-0.247,-0.147,-0.286,-0.129,-0.278,-0.286,-0.040,-0.285,-0.285,-0.285,-0.285,-0.285,-0.285,-0.223,-0.091,-0.144,-0.076,-0.099,0.028,-0.194,0.028,-0.068,-0.031,-0.122,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total Profit (norm),,,,statistic,Total Profit (norm) for each solution,-1.0961,-1.1095,-1.1095,-1.1249,-1.1066,-1.1356,-1.1103,-1.1076,-1.1385,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1065,-1.1136,-1.1361,-1.1341,-1.1363,-1.1292,-1.1697,-1.1208,-1.1773,-1.1425,-1.1485,-1.1308,-1.1701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75
