Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92,Solution_93,Solution_94,Solution_95,Solution_96,Solution_97,Solution_98,Solution_99,Solution_100,Solution_101,Solution_102,Solution_103,Solution_104,Solution_105,Solution_106,Solution_107,Solution_108,Solution_109,Solution_110,Solution_111,Solution_112,Solution_113,Solution_114,Solution_115,Solution_116,Solution_117,Solution_118,Solution_119,Solution_120,Solution_121,Solution_122,Solution_123,Solution_124,Solution_125,Solution_126,Solution_127,Solution_128,Solution_129,Solution_130
ATR Multiplier for TP,2.0,0,5.0,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,1.1601,1.6946,1.4016,1.6165,1.7041,1.4016,1.7012,1.7285,1.7214,1.5797,1.0623,1.7214,1.7285,1.6827,1.6659,1.6938,1.7287,1.7287,1.2807,1.6849,1.8595,2.122,1.6839,1.6839,1.5484,2.0735,2.1354,1.6318,1.6318,1.6555,1.5837,1.7246,1.9796,1.7214,2.0601,1.6555,1.5334,1.6839,1.6854,1.6041,1.1208,1.5796,1.5081,1.6855,1.6066,1.6823,1.646,1.6577,1.5922,1.7723,1.6893,1.6893,1.0421,1.6811,1.9269,1.6919,2.1822,1.6819,1.6329,1.6908,1.5832,1.6838,1.7721,1.7117,1.6526,1.6579,1.7196,1.6775,1.6775,1.8149,2.2898,1.6956,1.5532,1.6715,1.8585,1.6715,1.6598,1.7021,1.6617,1.6598,2.0049,1.6637,1.6916,1.7045,1.6777,1.6777,1.7926,1.7243,1.7422,1.1885,1.274,1.7371,1.7343,1.8662,2.0427,1.8899,1.7214,1.6522,1.3972,1.6326,1.4186,1.8621,1.6417,1.2095,1.6794,1.7934,1.4415,1.6628,1.6287,1.7021,1.5478,1.5307,1.6652,1.6808,1.8347,1.765,1.6367,1.7926,1.6875,1.6258,1.7219,1.6463,1.657,1.6263,1.6263,1.7403,1.7993,1.7066,1.7021,1.6939,2.1006
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Stop Loss (%),1.0,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,1.1803,1.1699,0.9801,1.038,1.1836,1.0241,1.0567,2.0,1.7321,0.9996,2.0,2.0,1.0367,1.0981,2.0,0.9945,2.0,2.0,1.3704,1.1429,0.9847,1.9595,0.9931,0.9931,0.9645,1.046,2.0,0.9749,0.9749,1.0756,1.007,1.4557,1.0004,2.0,1.0054,0.9812,0.9917,0.9931,1.0212,1.0834,1.3451,0.9712,0.9756,1.0886,0.9714,1.072,1.1135,1.0035,0.9999,1.0845,1.088,1.088,2.0,1.0884,1.088,1.078,1.0841,1.0913,1.2506,1.0843,1.084,1.084,1.851,1.089,1.1119,1.1494,1.7231,1.0878,1.0878,1.6947,1.0844,2.0,1.0905,1.0157,1.0625,1.0157,1.1434,0.977,1.0404,1.1434,1.0571,0.9726,1.0846,1.5818,1.2438,1.2032,1.3516,1.1528,0.7344,0.137,0.1,0.1,0.1,0.1,0.1,2.0,1.9207,2.0,2.0,1.5111,2.0,1.1014,2.0,0.6095,1.2749,1.1039,2.0,1.0677,1.268,1.0929,1.1378,0.9562,1.2661,1.2629,1.2658,0.9562,1.0829,1.055,1.0804,0.9536,1.0849,1.1781,0.9681,1.2092,1.2092,0.9766,1.0201,1.0757,0.9726,0.9538,1.0565
Enable Trailing Stop,1,0,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATR Length for Trailing Stop,26,10,100,int,ATR period for trailing,29,28,28,28,28,28,28,28,28,28,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,28,28,28,28,27,28,28,29,28,28,28,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
ATR Multiplier for Trailing Stop,2.0,0.5,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting,3.1388,3.1532,3.2088,3.2833,2.7978,3.2088,3.2817,3.1887,3.1386,3.2397,3.0598,3.1386,2.9085,3.3243,3.1678,3.5829,3.8335,3.3402,3.2807,3.3129,3.6296,3.5282,3.3091,3.2462,3.3152,3.527,3.5291,3.0826,3.2674,3.7181,3.0513,3.145,3.5836,3.1386,3.5261,3.4661,3.2041,3.3091,3.2212,3.2829,3.307,3.4077,3.4538,3.4263,3.2326,3.6337,3.6239,3.2577,3.2605,3.353,3.0353,3.0353,3.3971,3.1489,2.6694,3.4737,3.3211,3.2631,2.8681,3.2526,3.0678,3.4215,3.2267,3.0502,3.3406,3.597,3.1992,3.3349,3.3349,3.144,3.2188,3.144,3.2978,3.2008,3.2644,3.2008,3.7177,3.7466,3.6381,3.7177,3.7191,3.2551,3.5058,3.1982,3.2057,3.2057,3.2289,3.2143,3.1709,2.9275,2.9927,2.9936,3.0238,3.0842,3.1456,3.5438,3.1742,3.1305,3.0645,3.3387,3.1046,3.2749,3.4697,3.1699,3.5654,3.2965,3.1744,3.5531,3.2633,2.85,3.9337,2.9477,3.2178,3.2072,3.1601,2.9477,3.2823,3.2679,3.2939,3.6339,3.0681,3.2722,2.9816,3.2551,3.2551,3.2551,3.2422,3.2685,3.6122,3.6089,3.7215
Trailing Delay (bars),5,0,20,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)",13,12,13,12,12,13,12,13,13,13,13,13,12,12,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,12,13,13,12,12,13,12,13,12,12,12,12,13,13,12,12,12,13,12,12,12,12,12,13,12,12,12,13,13,12,13,13,12,12,13,12,13,12,13,13,13,13,13,13,13,13,13,12,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,12,13,13,12,13,13,13,13,13,12,14,13,13,12,12,13,14,13,12,13,13,12,13,13,13,12,13,13,13
=== GA CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,50,100,150,int,Population size - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_GEN,50,50,75,int,Number of generations - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX_PB,0.7,0.5,0.9,float,Crossover probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_MU,0.0,-1.0,1.0,float,Mutation mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TRADES_DAY,3,1,4,int,Ideal trades/day - reduced to be more realistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SPLITS,0.65,0.60,0.70,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_DAY,0.5,0.5,2.0,float,MUST have at least 0.3 trades/day - further relaxed due to interleaved split reducing effective trading days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_PEN_WEIGHT,-100.0,-200.0,-50.0,float,Scalar penalty — zero trades = -100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_SORTINO_MAX,10.0,5.0,20.0,float,Normalization range for Sortino Ratio (used in fitness calculation),8.0385,8.3288,7.6887,7.6059,8.1371,7.6887,7.6467,8.2615,8.7245,9.6246,8.0658,8.4675,8.7382,7.821,8.3734,7.8557,7.9931,8.0036,7.9529,7.766,9.3959,8.5465,7.9325,8.1617,9.9197,7.5723,8.3918,10.087,10.087,8.7329,9.4143,8.8037,7.5038,8.4675,7.727,8.7329,7.7643,7.9325,8.3021,7.9781,9.7117,10.2747,8.2014,7.7851,7.5627,8.1428,7.0865,7.7844,7.5089,7.9707,7.8225,7.8225,7.8286,8.0851,7.8225,7.6567,7.9296,8.1998,7.7222,7.9769,7.9424,7.8346,7.7224,7.6468,8.2103,8.0685,6.4933,7.5938,7.6306,7.5048,7.9641,7.8536,8.2885,6.4106,8.1173,6.4106,8.1195,8.0901,7.5919,8.5757,8.2976,7.8436,7.9271,6.6931,8.0731,8.0731,8.2263,6.733,8.1701,8.0697,7.8653,7.8045,7.8398,7.7926,7.8662,7.7201,8.055,7.8409,7.8126,8.0908,7.8205,8.0439,7.948,7.7684,8.0737,8.2379,8.441,8.074,8.0392,7.6819,8.0679,7.6391,7.602,7.38,7.5447,7.7123,7.5712,8.2324,8.1102,7.3492,7.4896,8.1253,7.6089,8.2233,8.2233,7.8439,8.0643,9.0868,8.0901,8.092,7.7684
NORM_DD_MAX,100000.0,50000.0,200000.0,float,Normalization range for Max Drawdown in dollars (used in fitness calculation),141429.4847,141429.4361,141429.9626,141429.5848,141430.1871,141429.6387,141429.6187,141429.8735,141429.6368,141429.6468,141429.6419,141429.6368,141429.3899,141429.6099,141429.6373,141429.6394,141429.7704,141429.7704,141430.4395,141429.6719,141429.1898,141429.7852,141429.6324,141429.6324,141429.6891,141429.746,141429.7817,141428.9484,141429.167,141429.8157,141429.535,141429.7865,141429.1043,141429.6368,141429.7496,141429.6439,141429.642,141429.6324,141429.6298,141430.4606,141429.6243,141429.6846,141429.2119,141429.6278,141429.6294,141429.5796,141429.5427,141429.2166,141429.6082,141430.1453,141429.6251,141429.6251,141429.6205,141429.6207,141429.6251,141429.7655,141430.4648,141429.6199,141429.2543,141430.4392,141430.4494,141430.3177,141429.629,141429.7083,141429.6232,141430.1698,141429.4114,141429.6189,141429.6189,141429.3636,141430.4546,141429.6229,141429.6324,141429.4622,141429.6368,141429.4622,141429.5957,141429.6208,141429.5138,141429.5957,141429.5895,141429.5985,141430.4143,141429.3445,141429.2285,141429.2285,141429.6285,141429.7959,141429.4967,141429.6087,141429.6032,141429.6342,141429.6269,141429.7284,141429.6928,141428.9265,141429.5947,141429.6235,141429.5318,141429.6386,141429.687,141429.629,141429.6241,141429.5752,141429.566,141429.6353,141429.6344,141429.6131,141429.5928,141429.6826,141429.8162,141430.1914,141429.5873,141429.5836,141429.5984,141430.2333,141429.6061,141429.6155,141429.604,141429.6003,141429.6177,141429.5733,141429.603,141429.5802,141429.5802,141429.5947,141429.6192,141429.3848,141429.6208,141429.6193,141429.5816
NORM_PF_MAX,5.0,3.0,10.0,float,Normalization range for Profit Factor (used in fitness calculation),3.0534,3.0,3.9391,3.4301,3.0474,3.9391,3.2139,3.0894,3.082,3.327,3.0513,3.082,3.088,4.4607,3.225,3.0862,3.0783,3.0783,3.0341,4.3375,3.3795,3.2033,3.0967,3.0967,3.4075,3.3472,3.1612,3.1518,3.1518,3.3247,3.1585,3.0566,3.0,3.082,3.3892,3.3247,3.7265,3.0967,3.1334,3.053,3.3496,3.1944,3.1135,3.1265,3.0,3.3966,3.0532,3.0146,3.1425,3.0497,3.0,3.0,3.0696,3.1125,3.0,4.4017,3.0543,3.2179,5.2763,3.0497,3.0534,3.0919,4.6957,4.6691,3.0,3.1509,3.0901,3.0,3.0,3.018,3.0506,4.177,3.0451,3.0,3.0,3.0,3.4991,3.0,3.0,3.4991,3.0,3.0,3.0706,3.0626,3.3027,3.6609,3.0867,3.0345,3.4486,3.0114,3.034,3.0127,3.0,3.0549,3.455,3.1743,3.2542,3.0,3.0,3.0,3.6472,3.0388,3.0,3.0,3.0495,3.0839,3.1193,3.3218,3.3782,3.0,3.1164,3.0,3.1581,3.192,3.213,3.0,3.0,3.2514,3.3184,3.0007,3.0,3.2974,3.0,3.3505,3.3505,3.0,3.2916,3.5252,3.0,3.0006,3.0
NORM_TRADES_MAX,3.0,1.0,5.0,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations,1.0593,1.1439,1.2094,1.0708,1.1735,1.1545,1.1184,1.1405,1.2371,1.2576,1.0,1.2371,1.1487,1.1276,1.2169,1.2658,1.2498,1.2498,1.5064,1.1321,1.1638,1.2421,1.2167,1.2167,1.2652,1.2415,1.2197,1.0,1.0,1.0,1.2548,1.267,1.2557,1.3912,1.2638,1.2264,1.2217,1.2167,1.0,2.1412,1.3303,1.0,1.3502,1.0407,1.1391,1.0186,1.1216,1.1976,1.2769,1.9684,1.119,1.119,1.1684,1.0684,1.119,1.1031,1.0,1.0525,1.0,1.0372,1.1549,1.0,1.0272,1.1446,1.0,1.2827,1.0365,1.1482,1.0,1.0279,1.0448,1.0352,1.0069,1.0679,1.0388,1.0679,1.0022,1.0,1.2201,1.0022,1.1921,1.1561,2.3422,1.0443,1.0,1.0,1.2268,1.0455,1.0,1.0,1.0,1.225,1.2451,1.1634,1.136,1.3367,1.0,1.0,1.088,1.0,1.052,1.1804,1.1662,1.0,1.0,1.141,1.2451,1.1953,1.0,1.0,1.0297,1.004,1.0414,1.283,1.0292,1.004,1.0131,1.2237,1.0859,1.2173,1.196,1.02,1.1581,1.1301,1.0,1.0974,1.0562,1.4649,1.0,1.1661,1.051
NORM_PNL_MAX,465000.0,100000.0,1000000.0,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out,700765.4952,700765.3063,700764.5888,700765.7909,700764.4771,700764.9148,700765.7465,700764.942,700764.5244,700764.8961,700765.6835,700764.3622,700765.6672,700765.8307,700764.5571,700765.273,700764.5656,700764.6291,700765.2041,700765.1306,700764.9143,700764.4734,700765.3022,700765.3022,700764.6782,700764.9804,700764.5673,700765.5117,700765.5117,700764.9906,700765.2941,700764.6531,700764.9876,700764.3622,700764.8865,700765.112,700765.0063,700765.1591,700765.0246,700765.7102,700765.116,700765.541,700765.4593,700765.1753,700765.2317,700765.1584,700764.937,700765.0004,700765.1727,700765.6951,700765.2452,700765.2452,700764.7961,700765.3576,700764.8026,700765.1824,700765.0079,700765.7473,700764.9744,700765.6062,700764.816,700764.9229,700764.8742,700764.8475,700765.1798,700764.871,700765.2316,700765.3731,700765.4036,700765.4643,700765.7981,700765.8571,700765.3994,700765.2948,700765.1691,700765.2948,700765.4612,700765.1602,700765.0945,700765.4612,700764.9664,700765.4031,700765.1169,700765.1444,700765.3693,700765.3693,700765.1157,700765.2132,700765.3166,700764.5023,700765.56,700765.5681,700764.6193,700764.6376,700764.2322,700764.5108,700765.5614,700765.7301,700766.101,700764.714,700764.6752,700765.1329,700765.6819,700765.6127,700765.4058,700765.3335,700764.6352,700765.3477,700765.3007,700765.1452,700765.1469,700765.0447,700765.4502,700765.42,700765.5331,700765.0447,700765.4582,700765.1599,700765.176,700765.5117,700765.1448,700765.332,700765.4742,700765.1602,700765.1602,700765.2117,700765.2185,700765.0081,700765.1602,700765.0859,700765.0876
NORM_PROFIT_TRADE_MAX,250.0,100.0,500.0,float,Normalization range for Avg Profit Per Trade (used in fitness calculation),126.2411,126.3655,126.1703,126.3924,126.4033,126.1703,126.0149,126.3685,125.5666,125.1739,126.0785,126.1107,126.497,126.1065,126.2644,125.8641,126.2275,126.2275,125.2839,126.1364,126.5912,126.4634,126.1457,126.1457,125.0104,126.4695,126.4555,126.0794,125.8257,125.0571,126.0998,125.3714,126.4638,126.0061,126.4774,125.0434,126.234,126.1457,125.7378,125.6506,124.9615,125.7141,125.6371,125.5973,125.7803,126.4452,125.7758,125.5117,125.397,125.6881,126.1697,126.1697,125.9762,126.1775,126.1697,125.7425,125.2155,125.8644,125.4612,125.6926,125.4174,125.4724,126.415,125.9047,126.2542,127.1949,126.1743,126.3824,126.4628,125.952,125.341,126.1481,126.0614,126.5285,126.1428,126.5285,126.1712,126.1321,126.1449,126.1712,125.8007,126.1888,125.3151,126.0566,126.1892,126.1892,126.3399,126.7323,126.2372,126.3712,126.2221,126.3076,126.1286,126.6447,126.4728,126.1838,126.2615,126.0441,126.0387,125.7051,125.9317,126.4379,125.9669,126.1741,126.143,126.4055,125.9864,126.1599,126.1314,126.1307,126.2474,126.3493,126.4807,126.4627,126.3607,126.565,126.1525,126.1397,125.8785,126.3326,126.0205,126.1013,126.1653,126.1384,126.1384,126.1852,126.3963,126.0038,126.1317,126.2017,125.8995
MIN_WIN_RATE,0.40,0.30,0.50,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated),0.3026,0.3,0.3278,0.5,0.3,0.3278,0.5,0.3516,0.3018,0.3486,0.3035,0.3018,0.3563,0.3,0.3019,0.3104,0.3099,0.3099,0.4035,0.3178,0.3086,0.3046,0.311,0.311,0.3095,0.3044,0.3031,0.3102,0.3102,0.5,0.3354,0.3613,0.3106,0.3,0.3059,0.3461,0.3006,0.3,0.315,0.4312,0.3384,0.3047,0.3103,0.3577,0.3054,0.426,0.4705,0.3421,0.3458,0.4109,0.3,0.3,0.3386,0.3031,0.3,0.5,0.5,0.3,0.4799,0.3302,0.5,0.3779,0.4392,0.5,0.3,0.3,0.3238,0.5,0.5,0.4953,0.3124,0.3017,0.4697,0.3202,0.3,0.5,0.3146,0.3,0.3841,0.3146,0.3,0.3,0.4957,0.3054,0.3038,0.3038,0.5,0.3102,0.5,0.3036,0.3057,0.3045,0.3002,0.3062,0.3207,0.5,0.4344,0.3028,0.3026,0.5,0.3014,0.3303,0.3,0.3043,0.3,0.5,0.3295,0.3135,0.3,0.3,0.5,0.373,0.5,0.4632,0.5,0.373,0.3,0.3,0.3,0.3318,0.3,0.3,0.3,0.3962,0.3,0.3,0.3496,0.5,0.3,0.3234,0.3
SORTINO_CAP,10.0,5.0,20.0,float,Maximum Sortino value before capping (prevents unrealistic values),11.2903,11.2889,11.3186,11.4975,11.1812,11.3186,11.4497,11.5975,11.2632,11.2556,11.3525,11.2632,11.179,11.3044,11.4664,11.2295,11.5012,11.5012,11.0573,11.2601,11.3039,11.491,11.2029,11.2029,11.0387,11.4634,11.4472,11.352,11.352,11.0391,11.1712,11.4636,11.5295,11.0522,11.5072,11.2819,11.4025,11.4786,11.2098,11.2583,11.2319,11.3637,11.1003,11.2832,11.1324,11.2574,11.2318,11.2108,11.0849,11.2642,11.3034,11.3034,11.2416,11.1373,11.3034,11.2467,11.1396,11.1888,11.1967,11.2374,10.9341,11.225,11.1541,11.0908,10.6349,11.3149,10.7944,10.8933,11.2681,10.4746,11.1247,11.1086,10.7033,10.767,11.2353,10.767,11.0727,11.2472,11.2391,11.0727,10.9606,11.319,11.318,10.6806,11.2692,11.2692,11.2571,11.3812,11.467,11.5109,11.4724,11.419,11.4233,11.1386,11.6668,10.7706,11.1949,11.4596,11.2931,11.267,11.3766,10.7646,11.463,11.2745,11.3676,10.7732,11.2022,11.1091,11.2241,11.3131,11.6379,11.5284,11.2247,11.2283,11.1752,11.5284,11.0313,11.1991,11.2283,10.927,11.3224,11.2111,11.3195,11.5333,11.5333,11.3185,11.3586,11.2656,11.4729,11.0338,11.3686
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio,,,,statistic,Sortino Ratio for each solution,0.0993,0.0983,0.0771,0.0763,0.0742,0.0727,0.0710,0.0665,0.0641,0.0633,0.0627,0.0605,0.0597,0.0590,0.0549,0.0544,0.0537,0.0537,0.0526,0.0518,0.0517,0.0514,0.0509,0.0509,0.0482,0.0466,0.0461,0.0451,0.0441,0.0427,0.0426,0.0381,0.0378,0.0365,0.0348,0.0302,0.0291,0.0286,0.0283,0.0266,0.0260,0.0257,0.0255,0.0226,0.0212,0.0194,0.0189,0.0185,0.0184,0.0149,0.0141,0.0141,0.0140,0.0140,0.0132,0.0122,0.0091,0.0091,0.0089,0.0088,0.0087,0.0077,0.0063,0.0061,0.0054,0.0047,0.0044,0.0038,0.0038,0.0026,0.0021,0.0018,0.0018,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
