Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TRADES_DAY,5,1,4,int,Ideal trades/day - reduced to be more realistic for combined filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SPLITS,0.65,0.6,0.7,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_DAY,2,0.5,2,float,MUST have at least 0.1 trades/day (approx 1 per 2 weeks) - relaxed for combined logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_PEN_WEIGHT,-500,-200,-50,float,Scalar penalty — zero trades = -50 (Less harsh death penalty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_SORTINO_MAX,10,5,20,float,Normalization range for Sortino Ratio (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_DD_MAX,50000,50000,200000,float,Normalization range for Max Drawdown in dollars (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PF_MAX,5,3,10,float,Normalization range for Profit Factor (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_TRADES_MAX,3,1,5,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PNL_MAX,650000,100000,1000000,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PROFIT_TRADE_MAX,60,100,500,float,Normalization range for Avg Profit Per Trade (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_WIN_RATE,0.4,0.3,0.5,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTINO_CAP,10,5,20,float,Maximum Sortino value before capping (prevents unrealistic values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio,,,,statistic,Sortino Ratio for each solution,0.0571,0.0515,0.0515,0.0515,0.0515,0.0506,0.0496,0.0467,0.0458,0.0458,0.0456,0.0456,0.0454,0.0454,0.0432,0.0432,0.0432,0.0432,0.0432,0.0403,0.0401,0.0398,0.0398,0.0394,0.0392,0.0391,0.0387,0.0387,0.0386,0.0380,0.0364,0.0355,0.0343,0.0329,0.0328,0.0326,0.0324,0.0323,0.0301,0.0301,0.0294,0.0293,0.0282,0.0281,0.0281,0.0281,0.0276,0.0276,0.0274,0.0265,0.0260,0.0258,0.0248,0.0248,0.0244,0.0244,0.0241,0.0240,0.0232,0.0228,0.0228,0.0228,0.0223,0.0218,0.0218,0.0216,0.0209,0.0208,0.0205,0.0204,0.0190,0.0190,0.0190,0.0190,0.0190,0.0190,0.0189,0.0182,0.0179,0.0178,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0108
Max Drawdown ($),,,,statistic,Max Drawdown ($) for each solution,$0.49,$0.44,$0.44,$0.44,$0.44,$0.52,$0.46,$0.41,$0.44,$0.45,$0.44,$0.44,$0.44,$0.49,$0.66,$0.66,$0.66,$0.66,$0.66,$0.40,$0.83,$0.83,$0.83,$0.51,$0.44,$0.42,$0.55,$0.55,$0.46,$0.47,$0.55,$0.53,$0.55,$0.53,$0.50,$0.91,$0.96,$0.45,$0.42,$0.42,$0.96,$0.46,$0.82,$0.79,$0.79,$0.79,$0.55,$0.59,$0.76,$0.52,$0.65,$1.02,$0.89,$0.77,$0.90,$0.68,$0.58,$0.61,$0.74,$0.74,$0.74,$0.74,$0.62,$0.73,$0.73,$0.59,$0.68,$0.63,$0.64,$0.63,$0.56,$0.56,$0.56,$0.56,$0.56,$0.56,$0.51,$0.61,$0.36,$0.57,$0.35,$0.35,$0.35,$0.35,$0.35,$0.35,$0.35,$0.35,$0.36
Profit Factor,,,,statistic,Profit Factor for each solution,0.2150,0.2138,0.2138,0.2138,0.2138,0.2142,0.2134,0.2127,0.2123,0.2126,0.2125,0.2125,0.2121,0.2122,0.2121,0.2121,0.2121,0.2121,0.2121,0.2109,0.2111,0.2111,0.2111,0.2107,0.2107,0.2106,0.2103,0.2103,0.2105,0.2104,0.2097,0.2094,0.2091,0.2092,0.2091,0.2101,0.2092,0.2087,0.2082,0.2082,0.2129,0.2080,0.2080,0.2081,0.2081,0.2081,0.2077,0.2075,0.2078,0.2076,0.2076,0.2110,0.2071,0.2071,0.2070,0.2066,0.2067,0.2065,0.2068,0.2062,0.2062,0.2062,0.2065,0.2061,0.2061,0.2059,0.2059,0.2059,0.2061,0.2058,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2053,0.2054,0.2046,0.2052,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2028
Avg Trades/Day,,,,statistic,Avg Trades/Day for each solution,0.698,0.735,0.735,0.735,0.735,0.827,0.761,0.675,0.750,0.784,0.787,0.787,0.740,0.813,0.846,0.846,0.846,0.846,0.846,0.774,0.851,0.848,0.848,0.855,0.790,0.788,0.908,0.908,0.816,0.880,0.915,0.898,0.928,0.897,0.941,1.000,0.927,0.807,0.783,0.783,0.868,0.825,0.974,0.976,0.976,0.976,0.949,0.958,0.960,0.951,0.959,0.875,0.980,0.978,0.982,0.984,0.954,0.989,0.975,0.989,0.989,0.989,0.960,1.000,1.000,0.998,1.000,1.000,1.000,1.000,0.976,0.976,0.976,0.976,0.976,0.976,1.000,1.000,0.725,1.000,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
Total Profit (norm),,,,statistic,Total Profit (norm) for each solution,0.1883,0.1784,0.1784,0.1784,0.1784,0.1904,0.1766,0.1481,0.1615,0.1685,0.1684,0.1684,0.1585,0.1707,0.1685,0.1685,0.1685,0.1685,0.1685,0.1479,0.1570,0.1550,0.1550,0.1579,0.1457,0.1452,0.1661,0.1661,0.1483,0.1566,0.1569,0.1504,0.1499,0.1404,0.1467,0.1476,0.1391,0.1230,0.1120,0.1120,0.1713,0.1146,0.1289,0.1290,0.1290,0.1290,0.1231,0.1235,0.1233,0.1211,0.1176,0.1476,0.1121,0.1138,0.1112,0.1124,0.1077,0.1115,0.1063,0.1046,0.1046,0.1046,0.1056,0.1029,0.1029,0.1015,0.1011,0.1036,0.1046,0.1022,0.0911,0.0911,0.0911,0.0911,0.0911,0.0911,0.0916,0.0969,0.0491,0.0919,0.0310,0.0310,0.0310,0.0310,0.0310,0.0310,0.0310,0.0310,0.0292
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88
